300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.290170e-06,1.234751e+02,4.815247e-04,3.000000e+05,0,3,1,2
-3.551110e-07,9.935073e+01,4.662110e-04,3.000000e+05,1,4,2,3
7.785469e-08,8.740442e+01,4.562795e-04,3.000000e+05,2,5,3,4
-2.658098e-06,1.514375e+02,4.510350e-04,3.000000e+05,3,6,4,5
-7.812299e-07,1.101323e+02,4.391679e-04,3.000000e+05,4,7,5,6
3.117894e-07,8.214478e+01,4.307856e-04,3.000000e+05,5,8,6,7
3.774686e-07,6.234071e+01,4.189285e-04,3.000000e+05,6,9,7,8
-3.549566e-07,1.000034e+02,4.110262e-04,3.000000e+05,7,10,8,9
-3.899118e-07,1.002447e+02,3.962957e-04,3.000000e+05,8,11,9,10
-2.015821e-07,9.739156e+01,3.754370e-04,3.000000e+05,9,12,10,11
-1.030555e-06,1.253932e+02,3.677154e-04,3.000000e+05,10,13,11,12
-1.107192e-06,1.304085e+02,3.663231e-04,3.000000e+05,11,14,12,13
-1.181863e-07,9.304878e+01,3.778652e-04,3.000000e+05,12,15,13,14
9.132592e-06,-8.681273e+00,3.899915e-04,3.000000e+05,13,16,14,15
-1.174881e-06,1.290767e+02,4.049760e-04,3.000000e+05,14,17,15,16
-1.348405e-06,1.284725e+02,4.086726e-04,3.000000e+05,15,18,16,17
-1.288178e-06,1.319487e+02,4.031512e-04,3.000000e+05,16,19,17,18
-1.312168e-07,9.361942e+01,3.944171e-04,3.000000e+05,17,20,18,19
-1.940532e-06,1.416096e+02,3.959040e-04,3.000000e+05,18,21,19,20
-2.164592e-06,1.465893e+02,3.868830e-04,3.000000e+05,19,22,20,21
-1.363474e-06,1.315008e+02,3.814528e-04,3.000000e+05,20,23,21,22
-1.989566e-06,1.440232e+02,3.745885e-04,3.000000e+05,21,24,22,23
-1.896958e-06,1.469379e+02,3.721301e-04,3.000000e+05,22,25,23,24
-1.845278e-06,1.441317e+02,3.647874e-04,3.000000e+05,23,26,24,25
-1.682694e-06,1.443085e+02,3.498478e-04,3.000000e+05,24,27,25,26
-2.019062e-06,1.525531e+02,3.290280e-04,3.000000e+05,25,28,26,27
-1.939792e-06,1.448520e+02,3.202613e-04,3.000000e+05,26,29,27,28
-2.231468e-06,1.477529e+02,3.168947e-04,3.000000e+05,27,30,28,29
-6.127206e-07,1.034890e+02,3.173766e-04,3.000000e+05,28,31,29,30
-1.883228e-06,1.424309e+02,3.249960e-04,3.000000e+05,29,0,30,31
-2.032860e-07,9.613732e+01,3.264887e-04,3.000000e+05,30,1,31,0
-1.991898e-06,1.362087e+02,3.308947e-04,3.000000e+05,31,2,0,1
