Hz wait=100periods tc=9[x,theta, y,fint,sin+,sin-,v+,v-]
-1.129703e-03,1.795290e+02,9.286960e-06,5.000000e+03,0,1,0,1
-1.154831e-03,1.789270e+02,2.162892e-05,5.000000e+03,1,2,1,2
-1.184783e-03,1.787024e+02,2.683732e-05,5.000000e+03,2,3,2,3
-1.489016e-03,1.778881e+02,5.490872e-05,5.000000e+03,3,4,3,4
-2.657349e-03,1.786401e+02,6.308497e-05,5.000000e+03,4,5,4,5
-2.891253e-03,1.794436e+02,2.807769e-05,5.000000e+03,5,6,5,6
-3.029318e-03,1.784315e+02,8.295038e-05,5.000000e+03,6,7,6,7
-2.905502e-03,1.782428e+02,8.913582e-05,5.000000e+03,7,8,7,8
-2.891185e-03,1.786667e+02,6.729348e-05,5.000000e+03,8,9,8,9
-2.894418e-03,1.786489e+02,6.826517e-05,5.000000e+03,9,10,9,10
-3.008431e-03,1.789897e+02,5.305408e-05,5.000000e+03,10,11,10,11
-3.055577e-03,1.788828e+02,5.958423e-05,5.000000e+03,11,12,11,12
-2.872705e-03,1.784420e+02,7.813470e-05,5.000000e+03,12,13,12,13
-1.631735e-03,1.789972e+02,2.856166e-05,5.000000e+03,13,14,13,14
-1.185926e-03,1.794902e+02,1.055282e-05,5.000000e+03,14,15,14,15
-1.107380e-03,1.790725e+02,1.792710e-05,5.000000e+03,15,16,15,16
-1.082544e-03,1.791943e+02,1.522393e-05,5.000000e+03,16,17,16,17
-1.101305e-03,1.788581e+02,2.195192e-05,5.000000e+03,17,18,17,18
-1.089750e-03,1.785051e+02,2.843786e-05,5.000000e+03,18,19,18,19
-1.070807e-03,-1.791275e+02,-1.630753e-05,5.000000e+03,19,20,19,20
-1.197112e-03,-1.793450e+02,-1.368581e-05,5.000000e+03,20,21,20,21
-1.145012e-03,1.796945e+02,6.104805e-06,5.000000e+03,21,22,21,22
-1.069090e-03,1.785142e+02,2.773023e-05,5.000000e+03,22,23,22,23
-1.074703e-03,-1.799606e+02,-7.393998e-07,5.000000e+03,23,24,23,24
-1.125610e-03,1.793953e+02,1.188024e-05,5.000000e+03,24,25,24,25
-1.118068e-03,1.799868e+02,2.579367e-07,5.000000e+03,25,26,25,26
-1.049458e-03,1.787249e+02,2.335976e-05,5.000000e+03,26,27,26,27
-1.073719e-03,1.790744e+02,1.734661e-05,5.000000e+03,27,28,27,28
-1.198230e-03,1.793717e+02,1.313999e-05,5.000000e+03,28,29,28,29
-1.137800e-03,1.793484e+02,1.294078e-05,5.000000e+03,29,30,29,30
-1.074853e-03,1.792056e+02,1.490433e-05,5.000000e+03,30,31,30,31
-1.062869e-03,1.789870e+02,1.879400e-05,5.000000e+03,31,0,31,0
